gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000185736.11,ADARB2,1.2883194161500264,0.274969485456176,0.19763479705413944,0.015118804865573786,0.161442320862838,2.78362602071768e-14,NA,4,5,5
ENSG00000262006.1,RP11-700H6.4,-1.2879116446278427,-0.32736447649657624,0.19777672150289693,0.0106087132461462,0.0306708492098132,0.00133457146361313,NA,7,9,9
ENSG00000257859.1,RP11-266E14.1,1.2869665135089385,0.1538177406433935,0.1981059600807803,0.030680420729300193,0.0363204414796719,0.000529919123850065,NA,24,27,27
ENSG00000141480.13,ARRB2,1.2866774505851772,0.16618906855519236,0.19820673581922033,0.03595044679234889,0.12693226761628,2.04715015260924e-11,NA,6,8,8
ENSG00000133119.8,RFC3,-1.2859514126386853,-0.23139708018895763,0.19846001909629685,0.019911807992559108,0.0570134561448856,1.24122591552274e-05,NA,14,15,15
ENSG00000138303.13,ASCC1,1.285504330902968,0.13708227047524815,0.19861610429512844,0.03850111266683173,0.0856305082677801,4.4795038750076e-08,NA,16,16,16
ENSG00000213463.3,SYNJ2BP,1.2852250984306515,0.25095008199928476,0.19871363547238285,0.011674106522985742,0.0218137479097734,0.00743836778107808,NA,15,22,22
ENSG00000197815.3,AC122129.1,-1.2846909704112928,-0.19120136895557996,0.1989002948837889,0.02689536087520344,0.0523038085211741,2.85336737774669e-05,NA,20,23,23
ENSG00000169507.5,SLC38A11,1.2844341740617509,0.12079478145350465,0.19899008200105095,0.05107135636054257,0.0284088089602953,0.00218224269881402,NA,58,67,67
ENSG00000255581.1,RP11-69M1.4,1.2843276313433427,0.42800567642319176,0.19902734263996913,0.0036080619979340384,0.0135604359659027,0.0333881837182052,NA,5,5,5
ENSG00000051620.6,HEBP2,-1.2837602981074885,-0.08174030556622251,0.199225839057652,0.10623294437024919,0.157971419933234,3.60760853464833e-14,NA,58,67,67
ENSG00000259757.1,RP11-129I19.2,-1.283698648713398,-0.5039613132244419,0.1992474174264497,0.003915761719145778,0.0752904828317422,4.19493046635707e-07,NA,10,13,13
ENSG00000174780.11,SRP72,1.2817879431196897,0.06130147538369819,0.19991704482594574,0.16537309352490917,0.264112442104847,1.20560493584662e-24,NA,27,33,33
ENSG00000145248.6,SLC10A4,-1.2817068418558009,-0.11918202103739745,0.19994550395539956,0.06091544834713082,0.0528768325182229,2.57729566202764e-05,NA,29,33,33
ENSG00000185274.7,WBSCR17,1.2816777088810947,0.1530908031382551,0.1999557276884486,0.026164047018836786,0.0960376451756351,6.4370016195405e-09,NA,8,10,10
ENSG00000126602.6,TRAP1,-1.2816441365440443,-0.060416368692638826,0.19996750981533773,0.2832248901699626,0.41386489590582,2.3644249891551e-43,NA,14,16,16
ENSG00000013561.13,RNF14,1.2815857627016258,0.12322016342990269,0.19998799717498905,0.09309816068024182,0.227190390674825,9.27575687988539e-21,NA,15,18,18
ENSG00000006453.9,BAIAP2L1,-1.281451936006316,-0.16942808496198483,0.20003497186806596,0.039633889462314734,0.0433330245993782,0.000155764845601027,NA,30,33,33
ENSG00000129195.11,FAM64A,1.2814160151128589,0.13500140830833468,0.20004758188190153,0.05150412185177715,0.0138453551193478,0.0331249951769418,NA,40,42,42
ENSG00000271550.1,RP11-561N12.7,-1.2808821141134594,-0.15514848539733436,0.20023507602713153,0.03715748175561486,0.0671779427054492,1.93096326848237e-06,NA,16,18,18
ENSG00000239556.2,AC004951.5,-1.2804593180622499,-0.08034251639382672,0.20038364359020022,0.10768471674888726,0.213775690608983,1.41412767271207e-19,NA,11,11,11
ENSG00000177600.4,RPLP2,1.280013381553041,0.2641718274650141,0.2005404297257578,0.01661373023078776,0.152239478316519,1.69323995692317e-13,NA,5,10,10
ENSG00000188878.12,FBF1,1.2799084874054323,0.0680039451197552,0.20057732230308645,0.1340590338240989,0.186545430391016,1.72668322155929e-17,NA,19,19,19
ENSG00000204531.11,POU5F1,1.2795904182607512,0.05541149735862032,0.20068922146372326,0.21421030654449344,0.318212068999668,6.36895526634216e-34,NA,72,90,90
